Sublibrary,Gene_symbol,Entrez_ID
Transcription factors,DBX2,
Transcription factors,DPF1,
Transcription factors,ZNF3,
Transcription factors,ZNF830,
Transcription factors,EGR1,
Transcription factors,PCGF6,
Transcription factors,ZNF451,
Transcription factors,ZBED4,
Transcription factors,PBX1,
Transcription factors,E2F6,
Transcription factors,NFIX,
Transcription factors,HMX2,
Transcription factors,ZNF774,
Transcription factors,NPAS4,
Transcription factors,ZNF197,
Transcription factors,ZNF560,
Transcription factors,PLAGL2,
Transcription factors,TET1,
Transcription factors,ZNF473,
Transcription factors,ZNF48,
Transcription factors,ZNF646,
Transcription factors,STAT5B,
Transcription factors,BARX1,
Transcription factors,SP4,
Transcription factors,TGIF2,
Transcription factors,SNAI2,
Transcription factors,CBX2,
Transcription factors,CC2D1A,
Transcription factors,ZNF382,
Transcription factors,ATF3,
Transcription factors,ZNF566,
Transcription factors,PTF1A,
Transcription factors,NKX1-1,
Transcription factors,ZNF225,
Transcription factors,TCF4,
Transcription factors,TIGD4,
Transcription factors,ZNF689,
Transcription factors,ZNF770,
Transcription factors,ZNF587,
Transcription factors,YY1,
Transcription factors,PRDM15,
Transcription factors,ZBED1,
Transcription factors,HAND1,
Transcription factors,ZNF195,
Transcription factors,BCL11B,
Transcription factors,ZNF418,
Transcription factors,ETS2,
Transcription factors,ZNF512,
Transcription factors,NKX2-1,
Transcription factors,ZNF660,
Transcription factors,ZNF605,
Transcription factors,E4F1,
Transcription factors,ZNF25,
Transcription factors,ZNF396,
Transcription factors,ZSCAN30,
Transcription factors,IRF5,
Transcription factors,PAX2,
Transcription factors,ZNF510,
Transcription factors,TFAP2D,
Transcription factors,ZNF607,
Transcription factors,MEIS2,
Transcription factors,E2F7,
Transcription factors,RAX,
Transcription factors,ZNF16,
Transcription factors,NR1H2,
Transcription factors,TBX15,
Transcription factors,MSGN1,
Transcription factors,L3MBTL3,
Transcription factors,SIX6,
Transcription factors,ZNF578,
Transcription factors,CXXC4,
Transcription factors,ZSCAN31,
Transcription factors,FOXF1,
Transcription factors,NKX6-3,
Transcription factors,LMX1B,
Transcription factors,ZBTB47,
Transcription factors,ZNF652,
Transcription factors,ZKSCAN3,
Transcription factors,BPTF,
Transcription factors,SREBF2,
Transcription factors,PRRX2,
Transcription factors,ARID5B,
Transcription factors,ARID3C,
Transcription factors,ZNF569,
Transcription factors,ZNF433,
Transcription factors,ZFHX2,
Transcription factors,BARHL2,
Transcription factors,ZFP41,
Transcription factors,HOXB3,
Transcription factors,ZNF155,
Transcription factors,RBPJL,
Transcription factors,ZBTB44,
