Plate_number_384,Well_number_384,Plasmid_ID,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Raw_rep1,Raw_rep2,CellTiterGlo_foldNT,DeltaNT_rep1,FoldNT_rep1,PercActivation_rep1,Raw_log2_rep1,Log2FC_rep1,Raw_Glo_rep1,DeltaNT_Glo_rep1,FoldNT_Glo_rep1,Log2FC_Glo_rep1,DeltaNT_rep2,FoldNT_rep2,PercActivation_rep2,Raw_log2_rep2,Log2FC_rep2,Raw_Glo_rep2,DeltaNT_Glo_rep2,FoldNT_Glo_rep2,Log2FC_Glo_rep2,SSMD_raw,SSMD_mod_raw,Mean_raw,p_value_raw,p_value_repro_raw,SSMD_log2,SSMD_mod_log2,Mean_log2,p_value_log2,p_value_repro_log2,SSMD_log2_glo,SSMD_mod_log2_glo,Mean_log2_glo,p_value_log2_glo,p_value_repro_log2_glo
VI,384,Empty,,,,,False,False,1.0,1.0,,-2824.1670177736455,0.0003539613742156892,-71.2508594338508,0.0,-11.46411246785603,,,,,-2560.332200680361,0.0003904218280371333,-70.17036977618343,0.0,-11.322650354105994,,,,,0.0,0.012779340939127018,1.0,0.9918648617150672,0.9344387533829162,-0.031188978024360547,-154.89973321401345,-11.39338141098101,0.004109825854445324,0.7720071773446642,,,,,
VII,1,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,25,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,48,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,49,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,73,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,96,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,97,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,121,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,134,THAP11,THAP11,57215.0,,Single,False,False,662.972561792461,767.4576558881286,,-1699.370214680151,0.2806419832021135,-66.33937525559625,9.3728053530461,-1.8331957601835072,,,,,-1903.755836787312,0.28730674578895465,-58.673931522391584,9.583943342439337,-1.7993361873084268,,,,,-0.03695052622494484,7.4965754381335445,715.2151088402948,0.08442302452407163,0.8739586851957309,-0.007465217692004465,-38.19582199043814,-1.816265973745967,0.01666345543820626,0.931778584623081,,,,,
